"city";"name";"location";"rating";"address"
"mumbai";"KFC pheonix mall";"https://goo.gl/maps/23jfMQQSRR9cVvBD6";9;"No S/20, 2nd Floor, Phoenix Market City Food Court, Lal Bahadur Shastri Rd, Kurla West, Mumbai, 400070"
"chennai";"dominos pizza thousand lights";"https://goo.gl/maps/3Nimy4EmHivTSUEz5";8;"Ground Floor, Spencer Plaza Nungambakkam. 105, Block No. 4 & 5, Anna Salai, Chennai,600002"
"mumbai";"dominos pizza kandivali";"https://goo.gl/maps/4KW5EchCDZ4pGej19";8;"Vaishnav Villa CHS, Bunglow No. 1, Western Express Hwy, opp. Mahindra & Mahindra, Kandivali East, Mumbai,400101"
"mumbai";"burger king star mall";"https://goo.gl/maps/7qLvcRPSuXLNfJD67";9;"Star Mall, No 10 to 14 , Ground Flloor, Dadar, Mumbai, 400028"
"chennai";"kora";"https://goo.gl/maps/CCYKk2xgDKohHhGf7";8;"340, 2nd Ave, G Block, Anna Nagar, Chennai, 600040"
"kolkata";"taco bell quest mall";"https://goo.gl/maps/CeHbW3fxYKVgPpb1A";9;"3rd Floor, Food Court, Quest Mall, Syed Amir Ali Ave, Ballygunge, Kolkata,700017"
"chennai";"burger king pheonix mall";"https://goo.gl/maps/ChRoXaLMKtwUvNQN9";9;"Phoenix Market City, PN S/40, 2nd Flr, Velachery Rd, Chennai, 600042"
"kolkata";"burger king riverside mall";"https://goo.gl/maps/dYH54bYZRL1qTgyF9";9;"Avani Riverside Mall, 32, Jagat Banerjee Ghat Rd, Choura Bustee, Shibpur,711102"
"mumbai";"pizza hut republic mall";"https://goo.gl/maps/eYow9JorLwq8weyN6";8;"2nd Floor, Fun Republic Mall Shah Ind Est, Off Veera Desai Rd, Andheri West, Mumbai,400053"
"kolkata";"pizza hut park street";"https://goo.gl/maps/fnTugwrDrWcwwTiu6";8;"20 K, Sir William Jones Sarani, Park St, Kolkata,700016"
"delhi";"pizza hut corner market";"https://goo.gl/maps/ikjvuY63ZqaS5KSo7";8;"SN 17 & 18, Corner Market, Malviya Nagar, New Delhi, 110017"
"kolkata";"Mc donald's riverside mall";"https://goo.gl/maps/jWeuEmoZG9BfHQz36";9;"Fine Dining 2, Unit No.2, Avani Riverside Mall, 32, Jagat Banerjee Ghat Rd, Shibpur,711102"
"mumbai";"Mc donalds";"https://goo.gl/maps/KPmKp8urifLvEUbj6";9;"Shop No 26, Khetan Bhavan, Jamshedji Tata Road, Churchgate, Mumbai, 400020"
"chennai";"burger king express mall";"https://goo.gl/maps/m2xfrCHChuXCpyKV8";9;"Shop No 7, 3rd Floor, Express Avenue, 49/50L, Whites Rd, Chennai, 600107"
"delhi";"Mc donalds Connaught Place";"https://goo.gl/maps/MiUoPfY9pjKC9gx68";9;"10, N Block, Connaught Circus, Connaught Place, New Delhi, 110001"
"delhi";"dominos Connaught Place";"https://goo.gl/maps/PN43U14gTHCLR39x9";9;"N-6/7, D 1,Block N, Connaught Place, New Delhi, 110001"
"delhi";"KFC Connaught Place";"https://goo.gl/maps/tBZDhAR7fBFwSqKK6";8;"No A12, Rajiv Chowk, Connaught Place, New Delhi, 110001"
"chennai";"kfc express mall";"https://goo.gl/maps/wXWP2xn5j3t5Bsxz7";9;"No 49/50L, 3rd Floor, Express Avenue, Whites Rd, Royapettah, Chennai, 600014"
"kolkata";"KFC park street";"https://goo.gl/maps/x4TuqqgUryvSJV2p7";9;"No 20 K Park street, Sir William Jones Sarani, Kolkata,700016"
"delhi";"taco bell";"https://goo.gl/maps/XMzJ9gYQMeHurGRP7";10;"Shop no 6A, Upper Ground Floor Epicuria Food Court, Nehru Place Metro Station, Siri Fort, New Delhi,110019"
