"Name";"Location";"Address";"Specialty";"Contact";"Rating";"City"
"Fortis Escorts Hospital";"https://g.page/fortis-okhla?share";"Okhla Road New Delhi 110025";"Cardiology";"www.fortishealthcare.com";9.0;"Delhi"
"Apollo Hospital";"https://g.page/indraprastha-apollo-hospital?share";"Sarita Vihar Delhi 110076";"Maternity";"www.apollohospitals.com";8.8;"Delhi"
"Max Healthcare";"https://goo.gl/maps/VTj7tBE9eRtWvxb69";"Saket New Delhi 110017";"Cardiology";"www.maxhealthcare.in";8.6;"Delhi"
"BLK Super Speciality Hospital";"https://goo.gl/maps/HLfQbyzUShneuesMA";"Pusa Road New Delhi 110005";"Cancer";"www.blkhospital.com";8.4;"Delhi"
"Artemis Hospital";"https://goo.gl/maps/QbT4ssVHs8D8o6fNA";"Gurgaon Haryana 122001";"Maternity";"www.artemishospitals.com";8.2;"Delhi"
"Medanta The Medicity";"https://g.page/medanta-medicity?share";"Gurgaon Delhi";"Orthopedics";"www.medanta.org";8.0;"Delhi"
"Apollo Hospitals";"https://goo.gl/maps/HvMLzkqbbUyDZE6x5";"Jawaharlal Nehru Road Arumbakkam Chennai Tamil Nadu 600106";"Multi-speciality";"https://www.apollohospitals.com/";8.6;"Chennai"
"MIOT Hospitals";"https://g.page/miot-international-chennai?share";"Central Avenue Chennai Tamil Nadu 600010";"Multi-speciality";"https://www.miotinternational.com/";9.4;"Chennai"
"Madras Medical Mission";"https://goo.gl/maps/EdUDMTbGxgPX3hNR9";"Dr. J.J. Nagar Mogappair Chennai Tamil Nadu 600037";"Oncology";"https://www.madrasmedicalmission.org/";9.2;"Chennai"
"Fortis Malar Hospital";"https://g.page/FortisMalarHospital?share";"1st Main Road Gandhi Nagar Adyar Chennai Tamil Nadu 600020";"Cardiology";"https://www.fortismalar.com/";9.0;"Chennai"
"Global Hospitals";"https://goo.gl/maps/pUVq5XKpuSqJovtY7";"Mount Poonamallee Road Manapakkam Chennai Tamil Nadu 600116";"Multi-speciality";"https://www.globalhospitalsindia.com/";8.8;"Chennai"
"Apollo Hospitals";"https://goo.gl/maps/EPqHEhUDFQEyKkSLA";"No.21 Greams Road Thousand Lights Chennai Tamil Nadu 600006";"General Medicine";"www.apollohospitals.com";8.8;"Chennai"
"Sri Ramachandra Medical Centre";"https://goo.gl/maps/jvb2b8JTdsmDVnRh9";"No.1 Ramachandra Nagar Porur Chennai Tamil Nadu 600116";"General Surgery";"www.srcmch.edu";8.4;"Chennai"
"Breach Candy Hospital";"https://goo.gl/maps/QhneKN3Vu4KCovJg7";"60A Bhulabhai Desai Rd Breach Candy Mumbai Maharashtra 400026";"General practice";"www.breachcandyhospital.org";9.2;"Mumbai"
"Hinduja Hospital";"https://goo.gl/maps/kY9Av1C9jQKqstCs6";"Veer Savarkar Rd Mahim Mumbai Maharashtra 400016";"General surgery";"www.hindujahospital.com";9.0;"Mumbai"
"Lilavati Hospital";"https://goo.gl/maps/vu9YPJ3cwRYymn3FA";"A-791 Bandra Reclamation Bandra West Mumbai Maharashtra 400050";"General practice";"www.lilavatihospital.com";8.8;"Mumbai"
"Sion Hospital";"https://goo.gl/maps/HEWWncJ4BXtczmUn8";"Mahim Mumbai Maharashtra 400012";"General practice";"www.sionhospital.org";8.6;"Mumbai"
"KEM Hospital";"https://goo.gl/maps/SPJnkByMnmBkq3XY6";"Acharya Donde Marg Parel Mumbai Maharashtra 400012";"General practice";"www.kemhospital.org";8.4;"Mumbai"
"Nair Hospital";"https://goo.gl/maps/5DMGNBQ3y2EkaZcs7";"Mumbai Maharashtra 400008";"General surgery";"https://www.nair-hospital.org.in/";8.0;"Mumbai"
"Bombay Hospital";"https://goo.gl/maps/skXJTsvPjtU2mBu49";"12 Marine Lines Mumbai Maharashtra 400001";"General Medicine";"www.bombayhospital.com";8.8;"Mumbai"
"Apollo Gleneagles Hospitals";"https://goo.gl/maps/apWJzzySAeFsifh5A";"60 Deshapran Sashmal Road Kolkata West Bengal 700014";"Cardiology";"www.apollohospitals.com";9.0;"Kolkata"
"Fortis Hospital";"https://goo.gl/maps/4YR8proRR1T4dk7D8";"11 Dr. U N Brahmachari Street Kolkata West Bengal 700017";"General Surgery";"www.fortishealthcare.com";8.6;"Kolkata"
"AMRI Hospitals";"https://g.page/amri-hospital-dhakuria?share";"Dhakuria Kolkata West Bengal 700029";"Gastroenterology";"www.amrihospitals.in";8.4;"Kolkata"
"Belle Vue Clinic";"https://goo.gl/maps/R6WqpxsdL5CE9WgN6";"12-A Loudon Street Kolkata West Bengal 700017";"General Medicine";"www.bellevueclinic.com";8.2;"Kolkata"
"Medica Superspecialty Hospital";"https://goo.gl/maps/Yj6Eh4o94JXLcNA77";"Eastern Metropolitan Bypass Anandapur Kolkata West Bengal 700107";"Oncology";"www.medicahospitals.in";8.0;"Kolkata"
"Ruby General Hospital";"https://g.page/RubyHospital?share";"576 Anandapur Main Rd Golpark Sector I";"Nephrology";"www.rubyhospital.org";8.0;"Kolkata"
