"CITY";"HOTEL_NAME";"RATING";"ADDRESS";"CONTACT_INFO";"Cost_To_Stay";"Location"
"kolkata";"Kenilworth Hotel";4;"1 And 2, Little Russel St, 700071 Kolkata";"https://www.kenilworthhotels.com/russel-street-kolkata/";6000;"https://goo.gl/maps/AdEM8mUCrZ4RdBDZ9"
"kolkata";"ITC Royal Bengal";5;"1 JBS Haldane Avenue, 700046 Kolkata";"https://www.tripadvisor.in/Hotel_Review-g304558-d17378938-Reviews-ITC_Royal_Bengal_a_Luxury_Collection_Hotel_Kolkata-Kolkata_Calcutta_Kolkata_District_.html";12390;"https://goo.gl/maps/YmweutYufs3xZjg2A"
"chennai";"MGM Beach Resorts";4;"1/74, SH 49, Muthukadu,Chennai 603112";"https://www.mgm-hotels.com/";9999;"https://g.page/MGMBeachResorts?share"
"chennai";"Park Elanza";3;"125, Valluvar Kottam High Rd,Tirumurthy Nagar, Nungambakkam, Chennai 600034";"https://parkelanza.com/";4000;"https://goo.gl/maps/e4TgM3ZowvijCP2e9"
"kolkata";"The Oberoi Grand";5;"15 Jawaharlal Nehru Road, Kolkata";"https://www.tripadvisor.in/Hotel_Review-g304558-d302191-Reviews-The_Oberoi_Grand-Kolkata_Calcutta_Kolkata_District_West_Bengal.html";11210;"https://g.page/TheOberoiGrand?share"
"kolkata";"The Astor kolkata";4;"15, Shakespeare Sarani Rd, beside NIGHTINGALE HOSPITAL 700071 kolkata";"https://www.astorkolkata.com/";7000;"https://goo.gl/maps/mgzxRPthwsjR5mKu7"
"delhi";"Hotel The Royal Plaza";4;"19 Ashoka Road Connaught Place, New Delhi 110001";"https://www.hotelroyalplaza.in/";8500;"https://goo.gl/maps/BYmJxmeacnrfR3Y99"
"mumbai";"The Westin Mumbai Powai Lake";5;"2 - 3b Near Chinmayanand Ashram, Mumbai 400087";"https://www.marriott.com/en-us/hotels/bomww-the-westin-mumbai-powai-lake/overview/";20000;"https://g.page/TheWestinMumbai?share"
"delhi";"Taj Palace";5;"2 Taj Palace, New Delhi Sardar Patel Marg Diplomatic Enclave, Delhi 110021";"https://www.tajhotels.com/en-in/taj/taj-palace-new-delhi/";14750;"https://goo.gl/maps/gMy1ZxK6oaE844DE8"
"chennai";"Grand Cascade Hotels";3;"27/28, V.V. Kovil street Opp. Ripon building 03, Behind S.R Guest House, Periamet,Chennai 600003";"http://grandcascadehotels.com/#2";2000;"https://goo.gl/maps/Fk7nspZUw1ajYyVi7"
"kolkata";"Holiday Inn Express";4;"28 Jessore Road, NSCBI Airport, Dum Dum, 700052 Kolkata";"https://www.ihg.com/holidayinnexpress/hotels/us/en/kolkata/ccuka/hoteldetail";5674;"https://g.page/HolidayInnExpressKolkataAirport?share"
"chennai";"Ambassador Pallava Hotel";4;"30, Red Cross Rd, Egmore, Chennai 600008";"https://ambassadorindia.com/ambassador-pallava-chennai/";5500;"https://g.page/ambassadorpallavachennai?share"
"mumbai";"The Fern";4;"4/ 277 I B Patel Road Behind H.P Petrol Pump, Goregaon East, Mumbai 400063";"https://www.fernhotels.com/the-fern-goregaon";8532;"https://goo.gl/maps/N2a3V5GC45oCHmNb7"
"delhi";"Pride Plaza Hotel Aerocity";5;"5 - A Hospitality District Aerocity, New Delhi 110002";"https://www.pridehotel.com/pride-plaza-hotel-aerocity-new-delhi-hotel/";13450;"https://goo.gl/maps/joAQJRLSJYJWgX3q6"
"chennai";"ITC Grand Chola";5;"63, Anna Salai, Little Mount, Guindy, Chennai 600032";"https://www.itchotels.com/in/en/itcgrandchola-chennai";12500;"https://goo.gl/maps/otiMiKS2ktM8Q36M9"
"kolkata";"Ethnotel";3;"71, Airport 2½ Gate, 1, Jessore Rd, Dum Dum, Kolkata,700081";"https://ethnotel.in/";3700;"https://goo.gl/maps/wgiKu1N52kbkuRQ27"
"delhi";"Ajanta Hotel";3;"8647, Arakashan Road, Church Rd, Ram Nagar, New Delhi 110055";"https://www.hotelajanta.com/";5000;"https://goo.gl/maps/EKaV8urxYD7Mo8sS9"
"delhi";"The Muse Sarovar Portico";4;"88-89 Bijwasan Road Kapashera, New Delhi 110037";"https://www.sarovarhotels.com/the-muse-sarovar-portico--kapashera-new-delhi/";7500;"https://goo.gl/maps/eujjwm4vEaezwCm2A"
