"Name";"Location";"Address";"Rating";"Type";"City"
"PVR Saket";"https://goo.gl/maps/5zbS4c1RPXCXZ62e7";"Saket District Centre Pushp Vihar New Delhi";8.4;"Cinema Hall";"Delhi"
"PVR Rivoli";"https://goo.gl/maps/4Zv4EipTxuKRJVbV9";"Connaught Place New Delhi";8.0;"Cinema Hall";"Delhi"
"Cinepolis";"https://goo.gl/maps/hTfBEtjK1YSrsbb4A";"Ambience Mall Vasant Kunj New Delhi";8.2;"Cinema Hall";"Delhi"
"DT Cinemas";"https://g.page/selectcitywalkofficial?share";"Select Citywalk Saket New Delhi";8.0;"Cinema Hall";"Delhi"
"Sathyam Cinemas";"https://goo.gl/maps/SAJs1fXdAwapX8rE8";"Royapettah";8.0;"Cinema Hall";"Chennai"
"PVR cinemas";"https://goo.gl/maps/vY6vgoCbf9VP9G5c9";"Anna Nagar";7.0;"Cinema Hall";"Chennai"
"INOX";"https://goo.gl/maps/PCWkikZmksteMyms5";"Chennai Citi Centre";9.0;"Cinema Hall";"Chennai"
"Escape cinemas";"https://goo.gl/maps/FEJmWZB8Ytv5Bvro7";"49 50 L Express Avenue Express Estate Royapettah Chennai Tamil Nadu 600014";9.0;"Cinema Hall";"Chennai"
"Mayajaal Multiplex";"https://goo.gl/maps/fRo4PU7xLovTRxr49";"Kundrathur";8.0;"Cinema Hall";"Chennai"
"SPI";"https://goo.gl/maps/dZwiuZnzsHiRswhr6";"Chennai Trade Centre";9.0;"Cinema Hall";"Chennai"
"PVR Phoenix";"https://goo.gl/maps/eZpdGRgU58mbNqWa6";"Lower Parel";9.0;"Cinema Hall";"Mumbai"
"PVR Dadar";"https://goo.gl/maps/8tXN4EfaZGQv2ArL6";"Dadar";6.0;"Cinema Hall";"Mumbai"
"PVR Mulund";"https://goo.gl/maps/PqsZmBTAmgo4Ni8T8";"Mulund";5.0;"Cinema Hall";"Mumbai"
"PVR Kandivali";"https://goo.gl/maps/yGQop51vYWkELmAy9";"Kandivali";7.0;"Cinema Hall";"Mumbai"
"Inox";"https://goo.gl/maps/WA6EJrBNTnq4cWEz9";"Forum Mall Kolkata";9.0;"Cinema Hall";"Kolkata"
"Cinepolis";"https://goo.gl/maps/yQ61uGAiynjLJuNR6";"Quest Mall Kolkata";9.0;"Cinema Hall";"Kolkata"
"Cinepolis";"https://goo.gl/maps/n88kN1tC9ibSx3NF9";"Acropolis Mall Kolkata";9.0;"Cinema Hall";"Kolkata"
"Wave";"https://goo.gl/maps/zouUVxFGRaz7Pzw77";"Acropolis Mall Kolkata";9.0;"Cinema Hall";"Kolkata"
"Select Citywalk";"https://g.page/selectcitywalkofficial?share";"Saket District Centre Delhi  110017";9.0;"Mall";"Delhi"
"DLF Promenade";"https://goo.gl/maps/UQy7jRBGx3vjdf2k9";"Vasant Kunj Delhi  110070";8.8;"Mall";"Delhi"
"Pacific Mall";"https://goo.gl/maps/6y5P75cn6gyXgpuD6";"Tagore Garden Delhi  110027";8.2;"Mall";"Delhi"
"DLF Emporio";"https://goo.gl/maps/XguwoK23auqD4MMe6";"Vasant Kunj Delhi  110070";8.0;"Mall";"Delhi"
"Chennai Citi Centre";"https://goo.gl/maps/mZnTUGzy79cPs8N56";"10 Dr. Radhakrishnan Salai Mount Road Chennai Tamil Nadu 600 002";8.6;"Mall";"Chennai"
"Express Avenue";"https://goo.gl/maps/AU4p2wyAK2BqgjYq9";"No.1 Royapettah High Road Chennai Tamil Nadu 600014";8.4;"Mall";"Chennai"
"The Forum Vijaya Mall";"https://goo.gl/maps/RDVnJDNf5Rgn3jst7";"183 NSK Salai Vadapalani Chennai Tamil Nadu 600026";8.2;"Mall";"Chennai"
"Phoenix Marketcity";"https://goo.gl/maps/QA8wBxQ5r4zRQVSYA";"No. 142 Velachery Main Road Chennai Tamil Nadu 600100";8.0;"Mall";"Chennai"
"Spencer Plaza";"https://g.page/spencer-plaza?share";"No.769 Anna Salai Mount Road Chennai Tamil Nadu 600002";7.8;"Mall";"Chennai"
"R-City Mall";"https://goo.gl/maps/8tMRqyhKgGPb7GfA6";"LBS Marg  Ghatkopar West Mumbai 400086";8.8;"Mall";"Mumbai"
"Oberoi Mall";"https://g.page/OberoiMall?share";"Oberoi Garden City Chandivali Mumbai 400072";8.2;"Mall";"Mumbai"
"Phoenix Marketcity";"https://goo.gl/maps/mZ1txtmXWKaFtGt79";"LBS Marg Kurla West Mumbai 400070";8.4;"Mall";"Mumbai"
"Infinity Mall";"https://goo.gl/maps/xW2eEDkPN2HSoTYXA";"Malad West Mumbai 400064";8.0;"Mall";"Mumbai"
"High Street Phoenix";"https://goo.gl/maps/bmvuHUfUx1cKuZD7A";"462 Senapati Bapat Marg Lower Parel Mumbai 400013";8.0;"Mall";"Mumbai"
"South City Mall";"https://goo.gl/maps/iA4afbUrZzLZU2HR6";"375 Prince Anwar Shah Road Kolkata";9.0;"Mall";"Kolkata"
"Quest Mall";"https://goo.gl/maps/2GDdNJTxUjz5bF7M7";"33 Syed Amir Ali Avenue Kolkata";8.4;"Mall";"Kolkata"
"City Centre Salt Lake";"https://g.page/CityCentreSaltLake?share";"DC Block Sector 1 Salt Lake City Kolkata";8.2;"Mall";"Kolkata"
"Mani Square Mall";"https://goo.gl/maps/92rRxwCgnNCxEUDF7";"164/1 Maniktala Main Road Kolkata";8.0;"Mall";"Kolkata"
"Forum Mall";"https://goo.gl/maps/dCiDrLhPgFwFYqAg6";"Elgin Road Kolkata";7.8;"Mall";"Kolkata"
