"Name";"Location";"Address";"Rating";"Type";"City"
"Red Fort";"https://goo.gl/maps/jcd3XArHtEnnhKJ78";"Lal Qila Rd Delhi 110006";4.5;"Monument";"Delhi"
"Jama Masjid";"https://goo.gl/maps/PxmEeJELinConF749";"6 Jahanara Begum Marg Jama Masjid Chandni Chowk New Delhi 110006";4.0;"Monument";"Delhi"
"Lotus Temple";"https://goo.gl/maps/QXjvjhAZbwU8YFh17";"Lotus Temple Rd Bahapur Shambhu Dayal Bagh Kalkaji New Delhi 110019";4.5;"Monument";"Delhi"
"Akshardham Temple";"https://goo.gl/maps/iJz2G4LfvpXVBidj7";"National Highway 24 Akshardham Setu New Delhi 110092";4.5;"Monument";"Delhi"
"Humayun's Tomb";"https://goo.gl/maps/knJMThTZu9cUzLTP9";"Mathura Rd Opp Nizamuddin Mosque Nizamuddin New Delhi 110013";4.5;"Monument";"Delhi"
"National Museum";"https://goo.gl/maps/Kp5w6pDB3vMFXuQGA";"Janpath New Delhi 110001";4.5;"Museum";"Delhi"
"Indira Gandhi National Centre for the Arts";"https://goo.gl/maps/TtvCwgTrwX4mWCWD9";"1 Central Vista Mess Janpath New Delhi 110001";4.0;"Museum";"Delhi"
"National Gallery of Modern Art";"https://goo.gl/maps/HiAMU1VKH5VoTjLPA";"Jaipur House India Gate New Delhi 110001";3.5;"Museum";"Delhi"
"Central Park";"https://goo.gl/maps/XqkofXobwKne5ocBA";"Connaught Place";4.5;"Park";"Delhi"
"Lodhi Garden";"https://goo.gl/maps/aC76GUwv2JcVQHaMA";"Lodhi Road";4.5;"Park";"Delhi"
"Nehru Park";"https://goo.gl/maps/Ye5UUK6SCzsmVZUj7";"Chanakyapuri";4.0;"Park";"Delhi"
"Agrasen Ki Baoli";"https://goo.gl/maps/gxXZXhHGgsajfu5T6";"Agrasen Marg";3.5;"Park";"Delhi"
"Buddha Jayanti Park";"https://goo.gl/maps/on2Nss296wrvtRiNA";"Mayur Vihar";3.0;"Park";"Delhi"
"Brihadeeswarar Temple";"https://goo.gl/maps/6zKtJjdo5WDN6XFz7";"Thanjavur Tamil Nadu";3.5;"Monument";"Chennai"
"Nataraja Temple";"https://goo.gl/maps/PoQWM38UBJ4b5V8m8";"Chidambaram Tamil Nadu";3.5;"Monument";"Chennai"
"Kapaleeshwarar Temple";"https://goo.gl/maps/DzM7zh2oPUfn6nL37";"Chennai Tamil Nadu";4.0;"Monument";"Chennai"
"Ekambareswarar Temple";"https://goo.gl/maps/hP7u5RzgfMRkjMt18";"Kanchipuram Tamil Nadu";3.0;"Monument";"Chennai"
"Shri Ranganathaswamy Temple";"https://goo.gl/maps/3gdKWKG1psrDruXUA";"Srirangam Tamil Nadu";4.5;"Monument";"Chennai"
"Madras Museum";"https://goo.gl/maps/KgP5eA2updjmh7W98";"Anna Salai Chennai";3.5;"Museum";"Chennai"
"National Art Gallery";"https://goo.gl/maps/6o3XWrtMLmKBxeyD6";"Theagaraya Road Chennai";4.0;"Museum";"Chennai"
"Government Museum";"https://goo.gl/maps/4eFwcSMS3GEWrHuw5";"Pantheon Road Chennai";4.5;"Museum";"Chennai"
"Marina Beach";"https://goo.gl/maps/wPYHVHFt4vRFBJ8W9";"Marina Chennai Tamil Nadu";4.0;"Beach";"Chennai"
