"city";"transport_type";"name";"location";"address";"rating";"contact"
"chennai";"metro";"Chennai Central Metro";"https://goo.gl/maps/VicykGtUN2eDHByZ7";"37JF+M9W, Muthuswamy Rd, Park Town, Chennai,600003";10;"https://chennaimetrorail.org/"
"chennai";"bus station";"Chennai Central Bus stop";"https://goo.gl/maps/f9acB9zKA2JA3CtM8";"37JG+R5X, Central Station,Poonamallee High Rd, Kannappar Thidal, Periyamet, Chennai,600003";9;"https://mtcbus.tn.gov.in/"
"chennai";"airport";"Chennai International Airport";"https://goo.gl/maps/RmW8yihkBsbvnSf68";"Airport Rd, Meenambakkam, Chennai, Tamil Nadu 600027";8;"https://www.chennaiairport.com/"
"kolkata";"railways";"Kolkata railway station";"https://goo.gl/maps/hbGW5poAmmArtQqq8";"Belgachia, Kolkata, West Bengal 700004";8;"https://er.indianrailways.gov.in/"
"mumbai";"metro";"Central Park Metro Station mumbai";"https://goo.gl/maps/oCyHU1eBQHxjAEFx9";"Central Park Metro Station Plot, Central Park Rd, Sector 24,Navi Mumbai,410210";10;"https://www.reliancemumbaimetro.com/"
"kolkata";"metro";"Central metro kolkata";"https://goo.gl/maps/nvhS2hhtAcvaoFPYA";"Chittaranjan Ave, Haltu, Calcutta Medical College, Kolkata, West Bengal 700012";9;"http://www.kmrc.in/"
"kolkata";"bus station";"Kolkata Station Bus Terminal";"https://goo.gl/maps/Gimemn3tUXpogBWJA";"J92J+HV5, Belgachia, Kolkata, West Bengal 700004";8;"https://wbtc.co.in/bus-service/"
"kolkata";"airport";"Kolkata airport";"https://goo.gl/maps/uzWsqnSggTWHFs3o7";"JCVM+QCW, Kolkata Airport Rd, International Airport, Dum Dum, Kolkata, West Bengal 700052";8;"https://www.kolkata-airport.com/"
"chennai";"railways";"Dr. M.G. Ramachandran Central Railway Station";"https://goo.gl/maps/7iUAcYxAz2DQgtKh6";"Kannappar Thidal, Periyamet, Chennai, Tamil Nadu 600003";9;"https://sr.indianrailways.gov.in/"
"delhi";"railways";"Delhi Railway Station";"https://goo.gl/maps/mhNhCRLSjYwj7mUG8";"KH-758, Siraspur Rd, Sector 18, Rohini, Delhi, 110042";8;"https://nr.indianrailways.gov.in/"
"mumbai";"airport";"Chhatrapati Shivaji Maharaj International Airport";"https://goo.gl/maps/QG52URMTozUD3VFw9";"Mumbai, Maharashtra 400099";9;"https://csmia.adaniairports.com/"
"mumbai";"railways";"Mumbai Central";"https://goo.gl/maps/aWHrjmWxzYgkfpVf9";"Nathani Heights Commercial,B'Wing,Ground Floor, Mumbai Central, Maharashtra 400008";9;"https://cr.indianrailways.gov.in/"
"delhi";"airport";"Indira Gandhi International Airport";"https://goo.gl/maps/mtFD54qpD2hqCqUXA";"New Delhi, Delhi 110037";9;"https://www.newdelhiairport.in/"
"mumbai";"bus station";"MSRTC Mumbai Central";"https://goo.gl/maps/j1HjdnsNmGKmNXCf9";"R.B.I Branch, Vahatuk Bhavan (M SRTC), Dr Anandrao Nair Marg, RBI Staff Colony, Mumbai Central,400008";7;"https://msrtc.maharashtra.gov.in/index.php/node/index/105"
"delhi";"metro";"Central Secretariat";"https://goo.gl/maps/jAennD43WBam1PCA8";"Rafi Ahmed Kidwai Marg, Kartavya Path, Central Secretariat, New Delhi,110001";9;"https://www.delhimetrorail.com/"
"delhi";"bus station";"Inter state Bus Terminal";"https://goo.gl/maps/oPvgqKpiVtrdXi2CA";"Yudhister Setu, Kashmere Gate, New Delhi,110006";8;"https://transport.delhi.gov.in/content/maharana-pratap-isbt"
